question,ground_truth
Ai là người đề xuất giả thuyết “RNA world” đầu tiên?,Carl Woese
Phân tử nào là chất truyền tin thứ hai trong cơ thể liên quan đến AMP?,cAMP
Ngôn ngữ lập trình đầu tiên hỗ trợ OOP?,Simula
Ai là người phát minh thuật toán PageRank?,Larry Page & Sergey Brin
Năm nào TCP/IP chính thức được áp dụng cho Internet?,1983
Quốc gia nào có nhiều múi giờ nhất thế giới (bao gồm lãnh thổ)?,Pháp
Cấu trúc tinh thể của kim cương thuộc hệ nào?,Lập phương
Ai là người đầu tiên mô tả virus?,Dmitri Ivanovsky
Tiêu chuẩn IEEE cho Wi-Fi 6 là gì?,802.11ax
Tên thật của Turing Test lúc ban đầu?,Imitation Game
Householder transformation thuộc ngành nào?,Đại số tuyến tính
Mức CO2 khí quyển trước thời kỳ công nghiệp khoảng bao nhiêu ppm?,~280 ppm
Số lượng nhiễm sắc thể người Neanderthal?,46
Thành phần chính của khí quyển sao Kim?,CO₂
Bằng chứng trực tiếp đầu tiên về Big Bang là gì?,Vi bức xạ nền (CMB)
Loài người tách khỏi tinh tinh khoảng bao nhiêu triệu năm?,6–7 triệu năm
Ngân hàng trung ương lâu đời nhất thế giới?,Sveriges Riksbank
RFC đầu tiên của Internet là năm nào?,1969
Protein gấp nếp sai gây bệnh gì nổi bật?,Prion / Creutzfeldt-Jakob
Hệ mã hóa ECC dùng trên Bitcoin?,secp256k1
Nhà toán học phát minh Fourier transform?,Joseph Fourier
Axit amin bắt đầu phiên mã ở vi khuẩn?,Formyl-methionine
Nguyên tố nào có điểm nóng chảy cao nhất?,Tungsten
CPU đầu tiên của Intel?,Intel 4004
Hằng số Hubble xấp xỉ (km/s/Mpc)?,~70
Lý thuyết “Gödel incompleteness” nói về điều gì?,Hệ tiên đề không thể đầy đủ và nhất quán
Đơn vị đo entropi trong thông tin?,Bit
Số nguyên tố lớn nhất đã biết thuộc dạng gì?,Số Mersenne
Tập đoàn nào sản xuất chip M1?,Apple
Lần đầu nhân loại chụp ảnh lỗ đen năm nào?,2019
Bằng chứng hóa thạch lâu đời nhất khoảng bao nhiêu năm?,~3.5 tỷ năm
Nhiên liệu chính của mặt trời?,Hydro
Quốc gia đầu tiên hợp pháp hóa Bitcoin làm tiền tệ?,El Salvador
Ngôn ngữ Haskell đặt theo tên ai?,Haskell Curry
Dịch vụ DNS hoạt động trên cổng UDP nào?,53
NLP viết tắt của gì?,Natural Language Processing
Không gian Hilbert thuộc nhánh nào?,Giải tích hàm
Hệ mã hóa RSA dựa trên vấn đề toán gì?,Phân tích thừa số số nguyên lớn
Cá thể sống đa bào cổ nhất là gì?,Porifera
“Red shift” trong thiên văn nghĩa là gì?,Giãn nở vũ trụ / vật thể rời xa
Ai phát minh Gradient Descent?,Cauchy
Nước đầu tiên phóng vệ tinh nhân tạo?,Liên Xô
Nhà toán học đứng sau lý thuyết Turing completeness?,Alan Turing
Đồng vị phóng xạ dùng trong PET scan?,Fluorine-18
Quantum tunneling là hiện tượng gì?,Hạt xuyên rào cấm lượng tử
Nguyên tắc Heisenberg nói về điều gì?,Không thể biết chính xác đồng thời vị trí & động lượng
Loại sóng não khi ngủ sâu?,Delta
Cơ chế chính của vaccine mRNA?,Dạy tế bào tạo protein kháng nguyên
Mật mã lượng tử dựa trên tính chất gì?,Rối & bất định lượng tử
Mô hình học sâu đầu tiên thắng ImageNet?,AlexNet
