question,ground_truth
Thủ đô của Canada là gì?,Ottawa
Nguyên tố có ký hiệu hóa học Fe là gì?,sắt
Năm bắt đầu Thế chiến II?,1939
Sông dài nhất thế giới là gì?,sông Nile
Hành tinh nào gần Mặt Trời nhất?,Sao Thủy
Khí nào chiếm tỷ lệ lớn nhất trong khí quyển Trái Đất?,nitơ
DNA là viết tắt của cụm từ gì (tiếng Việt)?,axit deoxyribonucleic
Người viết tác phẩm 'Truyện Kiều' là ai?,Nguyễn Du
Số π (pi) xấp xỉ bằng bao nhiêu (2 chữ số thập phân)?,3.14
Thủ đô của Úc là gì?,Canberra
Tốc độ ánh sáng xấp xỉ bao nhiêu m/s (dạng 3e8)?,3e8
'HTTP 404' biểu thị điều gì?,không tìm thấy
SQL chủ yếu dùng để làm gì?,quản lý cơ sở dữ liệu
GPU là viết tắt của gì (tiếng Anh)?,graphics processing unit
Quốc gia có diện tích lớn nhất thế giới?,Nga
Kim cương cấu tạo từ nguyên tố nào?,carbon
Biển lớn nhất thế giới là gì?,Thái Bình Dương
Ai là tổng thống đầu tiên của Hoa Kỳ?,George Washington
Vạn Lý Trường Thành thuộc quốc gia nào?,Trung Quốc
Khối EU viết tắt của gì (tiếng Anh)?,European Union
Nhiệt độ nước sôi ở mực nước biển (°C)?,100
Ngôn ngữ lập trình được Guido van Rossum tạo ra?,Python
Hệ điều hành di động do Google phát triển?,Android
Thủ đô của Nhật Bản là gì?,Tokyo
Biểu tượng hóa học của vàng là gì?,Au
Hàm số có đạo hàm bằng 0 là hàm gì (một từ)?,hằng
Cơ quan trao giải Nobel là nước nào đăng cai lễ trao giải (đa số hạng mục)?,Thụy Điển
Tác giả 'Dế mèn phiêu lưu ký'?,Tô Hoài
Đơn vị đo tần số trong Hệ SI?,héc
Trái Đất quay quanh thiên thể nào?,Mặt Trời
Ngôn ngữ chính thức của Brazil?,Tiếng Bồ Đào Nha
Số nguyên tố nhỏ nhất?,2
Hàm mũ tự nhiên dùng cơ số nào?,e
Loài động vật có vú biết bay nổi tiếng?,dơi
Hệ điều hành máy tính do Apple phát triển?,macOS
"Thành phố đông dân nhất Việt Nam (đến nay, cấp đô thị)?",TP Hồ Chí Minh
Thủ đô của Hàn Quốc?,Seoul
Đại dương nằm giữa châu Âu và châu Mỹ?,Đại Tây Dương
Hội họa 'Mona Lisa' do ai vẽ?,Leonardo da Vinci
Thành phần chính của muối ăn là gì?,natri clorua
Tập đoàn nào phát triển hệ điều hành Windows?,Microsoft
Đơn vị đo công suất điện là gì?,oát
Tập hợp các ngôi sao tạo thành Dải Ngân Hà gọi là gì?,thiên hà
Ngành học nghiên cứu động vật?,động vật học
Nguyên tố có số hiệu nguyên tử 1 là gì?,hydro
Cổng mạng mặc định của HTTP (không TLS)?,80
Công cụ kiểm soát phiên bản phân tán phổ biến?,Git
Thủ đô của Thái Lan?,Bangkok
Đơn vị lưu trữ lớn hơn: MB hay GB?,GB
Đất nước có kim tự tháp Giza?,Ai Cập
