"question","ground_truth"
"Định lý Fermat cuối cùng được chứng minh bởi ai?","Andrew Wiles"
"Vấn đề P vs NP thuộc danh sách bài toán thiên niên kỷ nào?","Millennium Prize Problems"
"Số nguyên tố Mersenne lớn nhất hiện tại có bao nhiêu chữ số?","Khoảng 25 triệu chữ số"
"Giả thuyết Riemann liên quan đến hàm zeta của ai?","Bernhard Riemann"
"Hằng số Euler-Mascheroni có giá trị xấp xỉ là bao nhiêu?","0.5772156649"
"Định lý bất đầy đủ của Gödel được công bố năm nào?","1931"
"Nhóm Monster có bao nhiêu phần tử?","808017424794512875886459904961710757005754368000000000"
"Giả thuyết Goldbach nói về điều gì?","Mọi số chẵn lớn hơn 2 đều là tổng của hai số nguyên tố"
"Không gian Hilbert được đặt tên theo ai?","David Hilbert"
"Vấn đề dừng (Halting Problem) được giải quyết bởi ai?","Alan Turing"
"Đa thức Alexander được phát minh để làm gì?","Nghiên cứu lý thuyết nút"
"Hằng số Catalan có giá trị xấp xỉ là bao nhiêu?","0.915965594"
"Định lý 4 màu được chứng minh lần đầu bằng phương pháp gì?","Máy tính"
"Lý thuyết hỗn loạn bắt đầu từ nghiên cứu của ai?","Edward Lorenz"
"Số siêu thực (surreal numbers) được phát minh bởi ai?","John Conway"
"Giả thuyết twin prime nói về điều gì?","Có vô hạn cặp số nguyên tố cách nhau 2 đơn vị"
"Định lý Poincaré được chứng minh bởi ai?","Grigori Perelman"
"Hằng số Chaitin có đặc điểm gì đặc biệt?","Không thể tính toán được"
"Vấn đề isoperimetric cổ điển có nghiệm là hình gì?","Hình tròn"
"Lý thuyết topos được phát triển bởi ai?","Alexander Grothendieck"
"Định lý Banach-Tarski nói về điều gì?","Một quả cầu có thể chia thành các phần và tái tạo thành hai quả cầu"
"Số siêu việt đầu tiên được chứng minh là gì?","e (hằng số Euler)"
"Giả thuyết Birch và Swinnerton-Dyer liên quan đến đường cong gì?","Đường cong elliptic"
"Định lý modularity được chứng minh hoàn chỉnh năm nào?","2001"
"Hằng số Khintchine có giá trị xấp xỉ là bao nhiêu?","2.6854520010"
"Vấn đề Collatz còn được gọi là gì?","Vấn đề 3n+1"
"Định lý Abel-Ruffini nói về điều gì?","Không có công thức tổng quát cho phương trình bậc 5"
"Lý thuyết K-theory được phát triển bởi ai?","Alexander Grothendieck và Michael Atiyah"
"Giả thuyết Hadamard về phân bố số nguyên tố được chứng minh năm nào?","1896"
"Hằng số Apéry liên quan đến hàm zeta tại điểm nào?","ζ(3)"
"Định lý Faltings chứng minh giả thuyết nào?","Giả thuyết Mordell"
"Lý thuyết mô đun được phát triển chủ yếu bởi ai?","Alexander Grothendieck"
"Giả thuyết abc trong lý thuyết số nói về điều gì?","Mối quan hệ giữa a+b=c và radical của abc"
"Định lý classification các nhóm đơn hữu hạn hoàn thành khi nào?","Khoảng năm 2004"
"Hằng số Mills có tính chất gì đặc biệt?","Sinh ra dãy số nguyên tố"
"Vấn đề Yang-Mills mass gap thuộc danh sách nào?","Millennium Prize Problems"
"Định lý Atiyah-Singer về chỉ số được công bố năm nào?","1963"
"Lý thuyết homotopy được phát triển bởi ai?","Henri Poincaré"
"Giả thuyết Langlands liên kết các lĩnh vực nào?","Lý thuyết số và hình học đại số"
"Hằng số Feigenbaum có giá trị xấp xỉ là bao nhiêu?","4.669201609"
"Định lý Green-Tao chứng minh điều gì về số nguyên tố?","Có cấp số cộng tùy ý dài toàn số nguyên tố"
"Lý thuyết category được phát triển bởi ai?","Samuel Eilenberg và Saunders Mac Lane"
"Giả thuyết Schanuel thuộc lĩnh vực nào?","Lý thuyết số siêu việt"
"Định lý Weil về đường cong elliptic trên trường hữu hạn nói gì?","Ước lượng số điểm trên đường cong"
"Hằng số Liouville có tính chất gì?","Là số siêu việt đầu tiên được chứng minh"
"Vấn đề Navier-Stokes thuộc danh sách nào?","Millennium Prize Problems"
"Định lý Thurston về hình học hóa được công bố khi nào?","Thập niên 1980"
"Lý thuyết motif được phát minh bởi ai?","Alexander Grothendieck"
"Giả thuyết Hodge liên quan đến gì?","Hình học đại số phức"
"Hằng số Brun có giá trị xấp xỉ là bao nhiêu?","1.9021605823"
"Định lý Szemerédi về cấp số cộng được chứng minh năm nào?","1975"
"Lý thuyết o-minimal được phát triển để nghiên cứu gì?","Cấu trúc tame trong logic toán học"
"Giả thuyết Mahler về đo lường trong lý thuyết số nói gì?","Về việc phân loại các số theo độ xấp xỉ"
"Định lý Apéry chứng minh tính vô tỷ của gì?","ζ(3)"
"Hằng số Soldner (không điểm đầu tiên của li(x)) có giá trị bao nhiêu?","1.45136923488"
