idx,question,gold,direct_answer,direct_correct,direct_uncertain,direct_hallucination,selfcrit_final,selfcrit_correct,selfcrit_uncertain,selfcrit_hallucination
1,Thủ đô của Canada là gì?,Ottawa,Thủ đô của Canada là Ottawa.,1,0,0,"Cuối cùng: Thủ đô của Canada là Ottawa. Đây là thông tin chính xác và phổ biến, không có dấu hiệu thay đổi nào gần đây.",1,0,0
2,Nguyên tố có ký hiệu hóa học Fe là gì?,sắt,Nguyên tố có ký hiệu hóa học Fe là Sắt.,1,0,0,"Cuối cùng:**  
Nguyên tố có ký hiệu hóa học Fe là Sắt. Đây là thông tin chính xác và không có nghi ngờ.",1,0,0
3,Năm bắt đầu Thế chiến II?,1939,Thế chiến II bắt đầu vào năm 1939.,1,0,0,"Cuối cùng:  
Thế chiến II chính thức bắt đầu vào năm 1939, khi Đức Quốc xã tấn công Ba Lan vào ngày 1 tháng 9 năm 1939. Đây được coi là sự kiện đánh dấu mở đầu cho cuộc chiến tranh lớn này. Các nước Anh và Pháp sau đó tuyên chiến với Đức vào ngày 3 tháng 9 năm 1939. Do đó, đáp án đúng là năm 1939.",1,0,0
4,Sông dài nhất thế giới là gì?,sông Nile,Sông dài nhất thế giới là sông Nile.,1,0,0,"Cuối cùng:  
Sông Nile truyền thống được xem là sông dài nhất thế giới, có chiều dài khoảng 6.650 km. Tuy nhiên, một số nghiên cứu mới cho rằng sông Amazon có thể dài hơn một chút, khoảng 6.800 km tùy cách đo đạc. Do đó, câu trả lời phổ biến và truyền thống là sông Nile, nhưng vẫn có tranh luận về điều này.",1,1,0
5,Hành tinh nào gần Mặt Trời nhất?,Sao Thủy,Hành tinh gần Mặt Trời nhất là Sao Thủy.,1,0,0,"Cuối cùng:
Đáp án đúng là Sao Thủy. Sao Thủy là hành tinh gần Mặt Trời nhất trong hệ Mặt Trời. Tôi chắc chắn về câu trả lời này.",1,0,0
6,Khí nào chiếm tỷ lệ lớn nhất trong khí quyển Trái Đất?,nitơ,"Khí chiếm tỷ lệ lớn nhất trong khí quyển Trái Đất là nitơ (N2), khoảng 78%.",1,0,0,"Cuối cùng:  
Khí chiếm tỷ lệ lớn nhất trong khí quyển Trái Đất là nito (N2), chiếm khoảng 78% thể tích khí quyển. Ôxy đứng thứ hai với khoảng 21%. Các khí khác như argon, carbon dioxide chiếm tỷ lệ rất nhỏ. Hơi nước cũng có mặt trong khí quyển nhưng tỷ lệ biến động lớn theo vùng và thời tiết. Tôi chắc chắn về đáp án này.",0,0,1
7,DNA là viết tắt của cụm từ gì (tiếng Việt)?,axit deoxyribonucleic,"DNA là viết tắt của cụm từ ""axit deoxyribonucleic"" trong tiếng Việt.",1,0,0,"Cuối cùng:  
DNA là viết tắt của Axit Deoxyribonucleic (hoặc Axit Đeoxyribonucleic trong tiếng Việt). Đây là tên chính xác và phổ biến để chỉ cấu trúc mang thông tin di truyền trong sinh học.",1,0,0
8,Người viết tác phẩm 'Truyện Kiều' là ai?,Nguyễn Du,Nguyễn Du là người viết tác phẩm 'Truyện Kiều'.,1,0,0,"cuối cùng: Người viết tác phẩm 'Truyện Kiều' là Nguyễn Du. Đây là kết luận được xác nhận rộng rãi trong văn học Việt Nam, không có tranh cãi lớn về vấn đề này.",1,0,0
9,Số π (pi) xấp xỉ bằng bao nhiêu (2 chữ số thập phân)?,3.14,"Số π (pi) xấp xỉ bằng 3,14.",0,0,1,"Cuối cùng:  
Số π (pi) xấp xỉ bằng 3.14 (2 chữ số thập phân). Đây là giá trị chuẩn và phổ biến.",1,0,0
10,Thủ đô của Úc là gì?,Canberra,Thủ đô của Úc là Canberra.,1,0,0,"Cuối cùng:  
Thủ đô của Úc là Canberra. Đây là thành phố được chọn làm thủ đô từ năm 1913 như một lựa chọn trung gian giữa Sydney và Melbourne. Tôi chắc chắn về câu trả lời này.",1,0,0
