question,ground_truth
Nguyên tố có số hiệu nguyên tử 1 là gì?,hydrogen
Công thức hóa học của nước là gì?,H2O
Tốc độ ánh sáng trong chân không là bao nhiêu?,299792458 m/s
Nhiệt độ sôi của nước ở áp suất tiêu chuẩn?,100°C
Nguyên tố nào có ký hiệu Au?,vàng
Protein nào vận chuyển oxy trong máu?,hemoglobin
Hành tinh nào gần Mặt Trời nhất?,Sao Thủy
Khí nào chiếm tỷ lệ lớn nhất trong khí quyển Trái Đất?,nitrogen
DNA là viết tắt của cụm từ gì?,deoxyribonucleic acid
Số π (pi) xấp xỉ bằng bao nhiêu (2 chữ số thập phân)?,3.14
Nguyên tử carbon có bao nhiêu proton?,6
Enzyme nào giúp tiêu hóa tinh bột?,amylase
Hạt cơ bản nào có điện tích âm?,electron
Công thức tính động năng là gì?,KE = 1/2mv²
Nguyên tố nào cần thiết cho tuyến giáp?,iodine
Tế bào nào không có nhân?,prokaryote
Áp suất khí quyển tiêu chuẩn là bao nhiêu?,101325 Pa
Vitamin nào được tổng hợp khi tiếp xúc ánh nắng?,vitamin D
Loại tia nào có bước sóng ngắn nhất?,tia gamma
Hormone nào điều hòa lượng đường trong máu?,insulin
Nguyên tố nào có điểm nóng chảy cao nhất?,tungsten
Tốc độ truyền âm trong không khí?,343 m/s
Protein nào tạo nên tóc và móng?,keratin
Tế bào nào sản xuất insulin?,tế bào beta
Nguyên tố nào phóng xạ nhất trong tự nhiên?,uranium
Enzyme nào cắt DNA?,endonuclease
Hạt nào nhỏ nhất trong nguyên tử?,quark
Tuyến nào tiết ra adrenaline?,tuyến thượng thận
Nguyên tử có bao nhiêu loại hạt cơ bản?,3
Ánh sáng nào có năng lượng cao nhất?,tia gamma
Protein nào giúp cơ bắp co?,actin và myosin
Nguyên tố nào cần thiết cho hemoglobin?,sắt
Enzyme nào tiêu hóa protein?,pepsin
Nhiệt độ tuyệt đối 0 là bao nhiêu Celsius?,-273.15°C
Tế bào nào bảo vệ não?,neuroglia
Nguyên tố nào tạo kim cương?,carbon
Hormone nào điều hòa giấc ngủ?,melatonin
Tốc độ thoát ly của Trái Đất?,11.2 km/s
Protein nào vận chuyển sắt trong máu?,transferrin
Nguyên tố nào có tính dẫn điện tốt nhất?,bạc
Vitamin nào tan trong nước?,vitamin C
pH của nước tinh khiết?,7
Tế bào nào sản xuất kháng thể?,tế bào B
Nguyên tố nào tạo ra ozone?,oxy
Enzyme nào tham gia quá trình hô hấp?,cytochrome oxidase
Hằng số Planck là bao nhiêu?,6.626 × 10^-34 J⋅s
Nguyên tố nào có khối lượng nguyên tử nhỏ nhất?,hydrogen
Quá trình nào sản xuất ATP trong ty thể?,hô hấp tế bào
Loại liên kết nào mạnh nhất trong phân tử?,liên kết cộng hóa trị
Hạt nào quyết định số hiệu nguyên tử?,proton
Enzyme nào nhân đôi DNA?,DNA polymerase
Nguyên tố nào là kim loại lỏng ở nhiệt độ phòng?,thủy ngân
Vitamin nào cần thiết cho đông máu?,vitamin K
Tế bào nào có nhiều mitochondria nhất?,tế bào cơ
Nguyên tố nào có electron hóa trị 1?,natri
Hormone nào kích thích sản xuất sữa?,prolactin
Loại sóng nào truyền qua chân không?,sóng điện từ
Protein nào chống oxy hóa trong hồng cầu?,catalase
Nguyên tố nào cần thiết cho enzyme carbonic anhydrase?,kẽm
Quá trình nào chuyển glucose thành pyruvate?,glycolysis
Hạt nào quyết định đồng vị?,neutron
Enzyme nào cắt RNA?,ribonuclease
Nguyên tố nào có cấu hình electron [He] 2s1?,lithium
Vitamin nào cần thiết cho tổng hợp collagen?,vitamin C
Tế bào nào sản xuất surfactant trong phổi?,pneumocyte type II
Nguyên tố nào tạo thành 78% khí quyển?,nitrogen
Hormone nào điều hòa cân bằng nước?,ADH
Loại liên kết nào giữ các nucleotide trong DNA?,phosphodiester
Protein nào chính trong tơ lụa?,fibroin
Nguyên tố nào có tính khử mạnh nhất?,cesium
Quá trình nào sản xuất glucose từ CO2?,quang hợp
Hạt nào mang điện tích dương?,proton
Enzyme nào tham gia chu trình Krebs?,citrate synthase
Nguyên tố nào có độ âm điện lớn nhất?,fluorine
Vitamin nào cần thiết cho hấp thụ canxi?,vitamin D
Tế bào nào sản xuất acid gastric?,parietal cell
Nguyên tố nào tạo thành protein?,carbon
Hormone nào kích thích phóng trứng?,LH
Loại bức xạ nào ion hóa mạnh nhất?,tia alpha
Protein nào vận chuyển lipid trong máu?,apolipoprotein
Nguyên tố nào có năng lượng ion hóa thấp nhất?,cesium
Quá trình nào tái tạo NAD+ từ NADH?,chuỗi electron
Hạt nào không có khối lượng nghỉ?,photon
Enzyme nào bắt đầu tiêu hóa protein?,pepsin
Nguyên tố nào có bán kính nguyên tử nhỏ nhất?,helium
Vitamin nào hòa tan trong chất béo?,vitamin A
Tế bào nào sản xuất insulin-like growth factor?,hepatocyte
Nguyên tố nào tạo thành axit nucleic?,phosphorus
Hormone nào điều hòa metabolisme?,thyroid hormone
Loại phân rã nào tạo ra helium?,phân rã alpha
Protein nào liên kết oxy trong cơ?,myoglobin
Nguyên tố nào có khả năng tạo liên kết nhiều nhất?,carbon
Quá trình nào chuyển pyruvate thành acetyl-CoA?,pyruvate dehydrogenase
