"question","ground_truth"
"Ngôi sao neutron có khối lượng trung bình bao nhiêu lần khối lượng Mặt Trời?","1.4 lần khối lượng Mặt Trời"
"Hố đen siêu khối lượng lớn nhất được phát hiện có khối lượng bao nhiêu?","Khoảng 66 tỷ lần khối lượng Mặt Trời"
"Khoảng cách từ Trái Đất đến trung tâm Ngân Hà là bao nhiêu?","Khoảng 26000 năm ánh sáng"
"Sóng hấp dẫn đầu tiên được phát hiện vào năm nào?","2015"
"Hằng số Hubble hiện tại có giá trị xấp xỉ là bao nhiêu?","70 km/s/Mpc"
"Vụ nổ gamma ray burst xa nhất được quan sát có redshift là bao nhiêu?","z ≈ 9.4"
"Hành tinh ngoài hệ Mặt Trời đầu tiên quay quanh ngôi sao dãy chính được phát hiện vào năm nào?","1995 (51 Pegasi b)"
"Kính thiên văn không gian James Webb có gương chính đường kính bao nhiêu?","6.5 mét"
"Nhiệt độ bức xạ nền vũ trụ là bao nhiêu Kelvin?","2.725 K"
"Ngôi sao Proxima Centauri cách Trái Đất bao nhiêu năm ánh sáng?","4.24 năm ánh sáng"
"Năng lượng tối chiếm bao nhiêu phần trăm vũ trụ?","Khoảng 68%"
"Chu kỳ quay của lỗ đen Sagittarius A* là bao nhiêu?","Khoảng 11.2 phút"
"Ngôi sao siêu khổng lồ đỏ lớn nhất hiện biết có bán kính bao nhiêu lần Mặt Trời?","Khoảng 2000 lần (Stephenson 2-18)"
"Tốc độ ánh sáng trong chân không là bao nhiêu km/s?","299792458 km/s"
"Khối lượng của electron neutrino có giới hạn trên là bao nhiêu eV?","Dưới 2 eV"
"Vụ va chạm thiên thạch lớn nhất trên Trái Đất tạo ra miệng núi nào?","Vredefort (Nam Phi)"
"Ngôi sao biến quang Cepheid được sử dụng để đo khoảng cách vũ trụ dựa trên mối quan hệ gì?","Quan hệ chu kỳ-độ sáng"
"Từ trường Mặt Trời đảo chiều mỗi bao nhiêu năm?","11 năm"
"Hành tinh lùn Eris có khoảng cách trung bình từ Mặt Trời là bao nhiêu AU?","67.7 AU"
